No.,Player,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb
22,Emmitt Smith *+\SmitEm00,23,RB,16,16,373,1713,18,68,4.6,107.1,23.3,74,59,335,5.7,1,26,3.7,20.9,79.7%,4.5,432,4.7,2048,19,4
27,Curvin Richards\RichCu00,24,,9,0,49,176,1,15,3.6,19.6,5.4,3,3,8,2.7,0,6,0.3,0.9,100.0%,2.7,52,3.5,184,1,3
8,Troy Aikman*\AikmTr00,26,QB,16,16,37,105,1,19,2.8,6.6,2.3,,,,,,,,,,,37,2.8,105,1,4
48,Daryl Johnston\JohnDa00,26,FB,16,16,17,61,0,14,3.6,3.8,1.1,38,32,249,7.8,2,18,2.0,15.6,84.2%,6.6,49,6.3,310,2,0
34,Tommie Agee\AgeeTo00,28,,16,0,16,54,0,10,3.4,3.4,1.0,4,3,18,6.0,0,8,0.2,1.1,75.0%,4.5,19,3.8,72,0,0
7,Steve Beuerlein\BeueSt00,27,,16,0,4,-7,0,-1,-1.8,-0.4,0.3,,,,,,,,,,,4,-1.8,-7,0,0
83,Kelvin Martin\MartKe00,27,,16,1,2,13,0,8,6.5,0.8,0.1,47,32,359,11.2,3,27,2.0,22.4,68.1%,7.6,34,10.9,372,3,2
88,Michael Irvin*\IrviMi00,26,WR,16,14,1,-9,0,-9,-9.0,-0.6,0.1,122,78,1396,17.9,7,87,4.9,87.3,63.9%,11.4,79,17.6,1387,7,1
80,Alvin Harper\HarpAl00,24,WR,16,13,1,15,0,15,15.0,0.9,0.1,77,35,562,16.1,4,52,2.2,35.1,45.5%,7.3,36,16.0,577,4,1
84,Jay Novacek*+\NovaJa00,30,TE,16,16,0,0,0,0,,0.0,0.0,99,68,630,9.3,6,34,4.3,39.4,68.7%,6.4,68,9.3,630,6,0
87,Alfredo Roberts\RobeAl00,27,,16,4,0,0,0,0,,0.0,0.0,7,3,36,12.0,0,18,0.2,2.3,42.9%,5.1,3,12.0,36,0,0
63,John Gesek\GeseJo20,29,RG,16,16,0,0,0,0,,0.0,0.0,1,1,4,4.0,0,4,0.1,0.3,100.0%,4.0,1,4.0,4,0,1
22,Emmitt Smith *+\SmitEm00,24,RB,14,13,283,1486,9,62,5.3,106.1,20.2,65,57,414,7.3,1,86,4.1,29.6,87.7%,6.4,340,5.6,1900,10,4
25,Derrick Lassic\LassDe00,23,,10,3,75,269,3,15,3.6,26.9,7.5,13,9,37,4.1,0,9,0.9,3.7,69.2%,2.8,84,3.6,306,3,2
44,Lincoln Coleman\ColeLi00,24,,7,0,34,132,2,16,3.9,18.9,4.9,4,4,24,6.0,0,10,0.6,3.4,100.0%,6.0,38,4.1,156,2,1
8,Troy Aikman*\AikmTr00,27,QB,14,14,32,125,0,20,3.9,8.9,2.3,,,,,,,,,,,32,3.9,125,0,7
48,Daryl Johnston*\JohnDa00,27,FB,16,16,24,74,3,11,3.1,4.6,1.5,60,50,372,7.4,1,20,3.1,23.3,83.3%,6.2,74,6.0,446,4,1
39,Derrick Gainer\GainDe00,27,,11,0,9,29,0,8,3.2,2.6,0.8,7,6,37,6.2,0,8,0.5,3.4,85.7%,5.3,15,4.4,66,0,0
18,Bernie Kosar\KosaBe00,30,,4,1,9,7,0,4,0.8,1.8,2.3,,,,,,,,,,,9,0.8,7,0,2
17,Jason Garrett\GarrJa00,27,,5,1,8,-8,0,0,-1.0,-1.6,1.6,,,,,,,,,,,8,-1.0,-8,0,1
85,Kevin Williams\WillKe00,22,,16,1,7,26,2,12,3.7,1.6,0.4,30,20,151,7.6,2,33,1.3,9.4,66.7%,5.0,27,6.6,177,4,8
34,Tommie Agee\AgeeTo00,29,,12,0,6,13,0,6,2.2,1.1,0.5,,,,,,,,,,,6,2.2,13,0,0
88,Michael Irvin*\IrviMi00,27,WR,16,16,2,6,0,9,3.0,0.4,0.1,143,88,1330,15.1,7,61,5.5,83.1,61.5%,9.3,90,14.8,1336,7,0
84,Jay Novacek*\NovaJa00,31,TE,16,16,1,2,1,2,2.0,0.1,0.1,69,44,445,10.1,1,30,2.8,27.8,63.8%,6.4,45,9.9,447,2,3
80,Alvin Harper\HarpAl00,25,WR,16,15,0,0,0,0,,0.0,0.0,67,36,777,21.6,5,80,2.3,48.6,53.7%,11.6,36,21.6,777,5,1
89,Scott Galbraith\GalbSc00,26,,7,0,0,0,0,0,,0.0,0.0,1,1,1,1.0,1,1,0.1,0.1,100.0%,1.0,1,1.0,1,1,0
89,Jim Price\PricJi00,27,,3,0,0,0,0,0,,0.0,0.0,2,1,4,4.0,0,4,0.3,1.3,50.0%,2.0,1,4.0,4,0,0
86,Tyrone Williams\WillTy22,23,,5,0,0,0,0,0,,0.0,0.0,4,1,25,25.0,0,25,0.2,5.0,25.0%,6.3,1,25.0,25,0,0
22,Emmitt Smith *+\SmitEm00,25,RB,15,15,368,1484,21,46,4.0,98.9,24.5,61,50,341,6.8,1,68,3.3,22.7,82.0%,5.6,418,4.4,1825,22,1
44,Lincoln Coleman\ColeLi00,25,,11,0,64,180,1,13,2.8,16.4,5.8,8,8,46,5.8,0,14,0.7,4.2,100.0%,5.8,72,3.1,226,1,2
48,Daryl Johnston*\JohnDa00,28,FB,16,16,40,138,2,9,3.5,8.6,2.5,60,44,325,7.4,2,24,2.8,20.3,73.3%,5.4,84,5.5,463,4,2
8,Troy Aikman*\AikmTr00,28,QB,14,14,30,62,1,13,2.1,4.4,2.1,,,,,,,,,,,30,2.1,62,1,2
32,Blair Thomas\ThomBl00,27,,2,1,24,70,1,11,2.9,35.0,12.0,2,2,1,0.5,0,5,1.0,0.5,100.0%,0.5,26,2.7,71,1,0
9,Rodney Peete\PeetRo00,28,,7,1,9,-2,0,2,-0.2,-0.3,1.3,,,,,,,,,,,9,-0.2,-2,0,3
85,Kevin Williams\WillKe00,23,,15,2,6,20,0,8,3.3,1.3,0.4,20,13,181,13.9,0,29,0.9,12.1,65.0%,9.1,19,10.6,201,0,4
34,Tommie Agee\AgeeTo00,30,,15,0,5,4,0,3,0.8,0.3,0.3,3,1,2,2.0,0,2,0.1,0.1,33.3%,0.7,6,1.0,6,0,0
17,Jason Garrett\GarrJa00,28,,2,1,3,-2,0,0,-0.7,-1.0,1.5,,,,,,,,,,,3,-0.7,-2,0,0
42,Robert Wilson\WilsRo00,25,,2,0,1,-1,0,-1,-1.0,-0.5,0.5,,,,,,,,,,,1,-1.0,-1,0,0
88,Michael Irvin*\IrviMi00,28,WR,16,16,0,0,0,0,,0.0,0.0,121,79,1241,15.7,6,65,4.9,77.6,65.3%,10.3,79,15.7,1241,6,0
84,Jay Novacek*\NovaJa00,32,TE,16,14,0,0,0,0,,0.0,0.0,65,47,475,10.1,2,27,2.9,29.7,72.3%,7.3,47,10.1,475,2,0
80,Alvin Harper\HarpAl00,26,WR,16,14,0,0,0,0,,0.0,0.0,79,33,821,24.9,8,90,2.1,51.3,41.8%,10.4,33,24.9,821,8,2
89,Scott Galbraith\GalbSc00,27,,16,2,0,0,0,0,,0.0,0.0,4,4,31,7.8,0,15,0.3,1.9,100.0%,7.8,4,7.8,31,0,0
60,Derek Kennard\KennDe20,32,RG,16,16,0,0,0,0,,0.0,0.0,1,1,-3,-3.0,0,-3,0.1,-0.2,100.0%,-3.0,1,-3.0,-3,0,1
22,Emmitt Smith *+\SmitEm00,26,RB,16,16,377,1773,25,60,4.7,110.8,23.6,78,62,375,6.0,0,40,3.9,23.4,79.5%,4.8,439,4.9,2148,25,7
20,Sherman Williams\WillSh00,22,,11,0,48,205,1,44,4.3,18.6,4.4,3,3,28,9.3,0,24,0.3,2.5,100.0%,9.3,51,4.6,233,1,2
48,Daryl Johnston\JohnDa00,29,FB,16,16,25,111,2,18,4.4,6.9,1.6,46,30,248,8.3,1,24,1.9,15.5,65.2%,5.4,55,6.5,359,3,1
8,Troy Aikman*\AikmTr00,29,QB,16,16,21,32,1,12,1.5,2.0,1.3,,,,,,,,,,,21,1.5,32,1,5
85,Kevin Williams\WillKe00,24,WR,16,16,10,53,0,14,5.3,3.3,0.6,67,38,613,16.1,2,48,2.4,38.3,56.7%,9.1,48,13.9,666,2,3
11,Wade Wilson\WilsWa00,36,,7,0,10,12,0,11,1.2,1.7,1.4,,,,,,,,,,,10,1.2,12,0,1
21,Deion Sanders\SandDe00,28,LCB,9,9,2,9,0,8,4.5,1.0,0.2,5,2,25,12.5,0,19,0.2,2.8,40.0%,5.0,4,8.5,34,0,0
17,Jason Garrett\GarrJa00,29,,1,0,1,-1,0,-1,-1.0,-1.0,1.0,,,,,,,,,,,1,-1.0,-1,0,0
38,David Lang\LangDa00,27,,16,0,1,7,0,7,7.0,0.4,0.1,,,,,,,,,,,1,7.0,7,0,0
88,Michael Irvin*\IrviMi00,29,WR,16,16,0,0,0,0,,0.0,0.0,165,111,1603,14.4,10,50,6.9,100.2,67.3%,9.7,111,14.4,1603,10,1
84,Jay Novacek*\NovaJa00,33,TE,15,15,0,0,0,0,,0.0,0.0,90,62,705,11.4,5,33,4.1,47.0,68.9%,7.8,62,11.4,705,5,1
86,Eric Bjornson\BjorEr00,24,,14,1,0,0,0,0,,0.0,0.0,9,7,53,7.6,0,16,0.5,3.8,77.8%,5.9,7,7.6,53,0,0
82,Cory Fleming\FlemCo20,24,,16,0,0,0,0,0,,0.0,0.0,17,6,83,13.8,0,16,0.4,5.2,35.3%,4.9,6,13.8,83,0,0
83,Kendell Watkins\WatkKe20,22,,16,0,0,0,0,0,,0.0,0.0,2,1,8,8.0,0,8,0.1,0.5,50.0%,4.0,1,8.0,8,0,1
