No.,Player,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb
34,Reggie Cobb\CobbRe00,24,RB,16,13,310,1171,9,25,3.8,73.2,19.4,25,21,156,7.4,0,27,1.3,9.8,84.0%,6.2,331,4.0,1327,9,3
40,Gary Anderson\AndeGa00,31,,15,4,55,194,1,18,3.5,12.9,3.7,54,34,284,8.4,0,34,2.3,18.9,63.0%,5.3,89,5.4,478,1,3
14,Vinny Testaverde\TestVi00,29,QB,14,14,36,197,2,18,5.5,14.1,2.6,,,,,,,,,,,36,5.5,197,2,4
37,Anthony McDowell\McDoAn00,24,FB,12,8,14,81,0,23,5.8,6.8,1.2,37,27,258,9.6,2,51,2.3,21.5,73.0%,7.0,41,8.3,339,2,1
32,Alonzo Highsmith\HighAl00,27,,5,2,8,23,0,5,2.9,4.6,1.6,5,5,28,5.6,0,11,1.0,5.6,100.0%,5.6,13,3.9,51,0,0
28,Stanford Jennings\JennSt00,30,,11,0,5,25,0,10,5.0,2.3,0.5,16,9,69,7.7,1,20,0.8,6.3,56.3%,4.3,14,6.7,94,1,1
20,James Brooks\BrooJa00,34,,2,0,5,6,0,4,1.2,3.0,2.5,1,0,0,,0,0,0.0,0.0,0.0%,0.0,5,1.2,6,0,0
17,Steve DeBerg\DebeSt00,38,,6,2,3,3,0,4,1.0,0.5,0.5,,,,,,,,,,,3,1.0,3,0,2
7,Craig Erickson\EricCr00,23,,6,0,1,-1,0,-1,-1.0,-0.2,0.2,,,,,,,,,,,1,-1.0,-1,0,0
4,Dan Stryzinski\StryDa20,27,,16,0,1,7,0,7,7.0,0.4,0.1,,,,,,,,,,,1,7.0,7,0,0
80,Lawrence Dawsey\DawsLa00,25,WR,15,12,0,0,0,0,,0.0,0.0,94,60,776,12.9,1,41,4.0,51.7,63.8%,8.3,60,12.9,776,1,1
88,Mark Carrier\CarrMa00,27,WR,14,12,0,0,0,0,,0.0,0.0,102,56,692,12.4,4,40,4.0,49.4,54.9%,6.8,56,12.4,692,4,1
82,Ron Hall\HallRo00,28,TE,12,11,0,0,0,0,,0.0,0.0,54,39,351,9.0,4,32,3.3,29.3,72.2%,6.5,39,9.0,351,4,0
5,Courtney Hawkins\HawkCo00,23,wr,16,5,0,0,0,0,,0.0,0.0,36,20,336,16.8,2,49,1.3,21.0,55.6%,9.3,20,16.8,336,2,2
87,Willie Drewrey\DrewWi00,29,,9,2,0,0,0,0,,0.0,0.0,26,16,237,14.8,2,32,1.8,26.3,61.5%,9.1,16,14.8,237,2,0
86,Tyji Armstrong\ArmsTy00,22,te,15,7,0,0,0,0,,0.0,0.0,14,7,138,19.7,1,81,0.5,9.2,50.0%,9.9,7,19.7,138,1,0
