,Tm,From,To,Rate
0,Tampa Bay Buccaneers,1976,2020,0.389
1,Arizona Cardinals,1920,2020,0.424
2,Jacksonville Jaguars,1995,2020,0.436
3,Atlanta Falcons,1966,2020,0.44
4,Cincinnati Bengals,1968,2020,0.447
5,New York Jets,1960,2020,0.447
6,Houston Texans,2002,2020,0.449
7,Detroit Lions,1930,2020,0.456
8,New Orleans Saints,1967,2020,0.462
9,Buffalo Bills,1960,2020,0.469
10,Tennessee Titans,1960,2020,0.486
11,Carolina Panthers,1995,2020,0.489
12,Philadelphia Eagles,1933,2020,0.49
13,Los Angeles Chargers,1960,2020,0.498
14,Washington Redskins,1932,2020,0.498
15,Los Angeles Rams,1937,2020,0.504
16,Cleveland Browns,1946,2020,0.51
17,Seattle Seahawks,1976,2020,0.517
18,Oakland Raiders,1960,2020,0.523
19,Indianapolis Colts,1953,2020,0.529
20,Denver Broncos,1960,2020,0.532
21,New York Giants,1925,2020,0.532
22,Kansas City Chiefs,1960,2020,0.534
23,Pittsburgh Steelers,1933,2020,0.535
24,San Francisco 49ers,1946,2020,0.543
25,Minnesota Vikings,1961,2020,0.545
26,Miami Dolphins,1966,2020,0.551
27,Baltimore Ravens,1996,2020,0.563
28,New England Patriots,1960,2020,0.564
29,Chicago Bears,1920,2020,0.567
30,Green Bay Packers,1921,2020,0.569
31,Dallas Cowboys,1960,2020,0.571
