Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,W plyf,L plyf,W-L%,Chmp,SBwl,Conf,Div
Arizona Cardinals,1920,2020,562,765,41,.424,Wehrli,Hart,Anderson,Fitzgerald,Arians,10,7,9,0.438,2,0,1,8
Chicago Cardinals,1920,1943,99,141,21,.413,,,,,,0,0,0,,1,0,0,1
Chi/Pit Cards/Steelers,1944,1944,0,10,0,.000,,,,,,0,0,0,,0,0,0,0
Chicago Cardinals,1945,1959,66,107,4,.382,,,,,,2,1,1,,1,0,0,2
St. Louis Cardinals,1960,1987,186,202,14,.480,,,,,,3,0,3,,0,0,0,2
Phoenix Cardinals,1988,1993,32,64,0,.333,,,,,,0,0,0,,0,0,0,0
Arizona Cardinals,1994,2020,179,241,2,.427,,,,,,5,6,5,,0,0,1,3
Atlanta Falcons,1966,2020,366,466,6,.440,Ryan,Ryan,Riggs,Jones,Smith,14,10,14,0.417,0,0,2,7
Baltimore Ravens,1996,2020,219,170,1,.563,Lewis,Flacco,Lewis,Mason,Harbaugh,12,15,10,0.600,2,2,2,6
Buffalo Bills,1960,2020,429,485,8,.469,Smith,Kelly,Thomas,Reed,Levy,19,14,17,0.452,2,0,4,12
Carolina Panthers,1995,2020,198,207,1,.489,Newton,Newton,Stewart,Smith,Rivera,8,9,8,0.529,0,0,2,6
Chicago Bears,1920,2020,774,592,42,.567,Payton,Cutler,Payton,Morris,Halas,26,17,19,0.472,9,1,2,25
Decatur Staleys,1920,1920,10,1,2,.909,,,,,,0,0,0,,0,0,0,0
Chicago Staleys,1921,1921,9,1,1,.900,,,,,,0,0,0,,1,0,0,1
Chicago Bears,1922,2020,755,590,39,.561,,,,,,26,17,19,,8,1,2,24
Cincinnati Bengals,1968,2020,360,445,5,.447,Munoz,Anderson,Dillon,Johnson,Lewis,14,5,14,0.263,0,0,2,10
Cleveland Browns,1946,2020,526,506,14,.510,Schafrath,Sipe,Brown,Newsome,Brown,28,16,20,0.444,8,0,0,23
Dallas Cowboys,1960,2020,522,392,6,.571,Smith,Romo,Smith,Witten,Landry,33,35,28,0.556,5,5,8,25
Denver Broncos,1960,2020,485,426,10,.532,Elway,Elway,Davis,Smith,Shanahan,22,23,19,0.548,3,3,8,15
Detroit Lions,1930,2020,564,673,33,.456,Sanders,Stafford,Sanders,Johnson,Fontes,17,7,13,0.350,4,0,0,8
Portsmouth Spartans,1930,1933,28,16,7,.636,,,,,,0,0,0,,0,0,0,0
Detroit Lions,1934,2020,536,657,26,.449,,,,,,17,7,13,,4,0,0,8
Green Bay Packers,1921,2020,760,575,38,.569,Favre,Favre,Green,Driver,Lambeau,33,35,23,0.603,13,4,5,29
Houston Texans,2002,2020,132,162,0,.449,Johnson,Schaub,Foster,Johnson,Kubiak,6,4,6,0.400,0,0,0,6
Indianapolis Colts,1953,2020,527,470,7,.529,Manning,Manning,James,Harrison,Dungy,28,23,24,0.489,4,2,4,21
Baltimore Colts,1953,1983,222,194,7,.534,,,,,,10,8,7,,3,1,2,10
Indianapolis Colts,1984,2020,305,276,0,.525,,,,,,18,15,17,,1,1,2,11
Jacksonville Jaguars,1995,2020,177,229,0,.436,Smith,Brunell,Taylor,Smith,Coughlin,7,7,7,0.500,0,0,0,3
Kansas City Chiefs,1960,2020,486,424,12,.534,Tyrer,Dawson,Charles,Gonzalez,Stram,22,13,19,0.406,3,2,3,14
Dallas Texans,1960,1962,25,17,0,.595,,,,,,1,1,0,,1,0,0,1
Kansas City Chiefs,1963,2020,461,407,12,.531,,,,,,21,12,19,,2,2,3,13
Los Angeles Chargers,1960,2020,453,457,11,.498,Rivers,Rivers,Tomlinson,Gates,Gillman,19,12,18,0.400,1,0,1,15
Los Angeles Chargers,1960,1960,10,4,0,.714,,,,,,1,0,1,,0,0,0,1
San Diego Chargers,1961,2016,416,427,11,.493,,,,,,17,11,16,,1,0,1,14
Los Angeles Chargers,2017,2020,27,26,0,.509,,,,,,1,1,1,,0,0,,0
Los Angeles Rams,1937,2020,581,571,21,.504,Olsen,Everett,Jackson,Bruce,Robinson,29,21,26,0.447,3,1,4,20
Cleveland Rams,1937,1945,34,50,2,.405,,,,,,1,1,0,,1,0,0,1
Los Angeles Rams,1946,1994,364,299,18,.549,,,,,,21,12,20,,1,0,1,14
St. Louis Rams,1995,2015,142,193,1,.424,,,,,,5,6,4,,1,1,2,3
Los Angeles Rams,2016,2020,41,29,0,.586,,,,,,2,2,2,,0,0,1,2
Miami Dolphins,1966,2020,460,374,4,.551,Marino,Marino,Csonka,Duper,Shula,23,20,21,0.488,2,2,5,14
Minnesota Vikings,1961,2020,489,408,11,.545,Tingelhoff,Tarkenton,Peterson,Carter,Grant,30,21,30,0.412,0,0,4,20
New England Patriots,1960,2020,514,398,9,.564,Brady,Brady,Cunningham,Morgan,Belichick,27,37,21,0.638,6,6,11,22
Boston Patriots,1960,1970,65,80,9,.448,,,,,,1,1,1,,0,0,0,1
New England Patriots,1971,2020,449,318,0,.585,,,,,,26,36,20,,6,6,11,21
New Orleans Saints,1967,2020,378,440,5,.462,Brees,Brees,McAllister,Colston,Payton,13,9,12,0.429,1,1,1,8
New York Giants,1925,2020,697,614,33,.532,Taylor,Manning,Barber,Toomer,Owen,32,24,25,0.490,8,4,5,25
New York Jets,1960,2020,408,506,8,.447,Maynard,Namath,Martin,Maynard,Ewbank,14,12,13,0.480,1,1,1,4
New York Titans,1960,1962,19,23,0,.452,,,,,,0,0,0,,0,0,0,0
New York Jets,1963,2020,389,483,8,.446,,,,,,14,12,13,,1,1,1,4
Oakland Raiders,1960,2020,476,434,11,.523,Otto,Carr,Allen,Brown,Madden,22,25,19,0.568,3,3,5,16
Oakland Raiders,1960,1981,195,110,11,.638,,,,,,11,15,9,,2,2,3,9
Los Angeles Raiders,1982,1994,118,82,0,.590,,,,,,7,6,6,,1,1,1,4
Oakland Raiders,1995,2019,160,240,0,.400,,,,,,4,4,4,,0,0,1,3
Las Vegas Raiders,2020,2020,3,2,0,.600,,,,,,,,,,,,,0
Philadelphia Eagles,1933,2020,588,612,27,.490,Dawkins,McNabb,McCoy,Carmichael,Reid,27,23,23,0.500,4,1,3,16
Philadelphia Eagles,1933,1942,23,82,4,.219,,,,,,0,0,0,,0,0,0,0
Phi/Pit Eagles/Steelers,1943,1943,5,4,1,.556,,,,,,0,0,0,,0,0,0,0
Philadelphia Eagles,1944,2020,560,526,22,.516,,,,,,27,23,23,,4,1,3,16
Pittsburgh Steelers,1933,2020,636,552,21,.535,Roethlisberger,Roethlisberger,Harris,Ward,Noll,31,36,25,0.590,6,6,8,25
Pittsburgh Pirates,1933,1939,22,55,3,.286,,,,,,0,0,0,,0,0,0,0
Pittsburgh Steelers,1940,1942,10,20,3,.333,,,,,,0,0,0,,0,0,0,0
Phi/Pit Eagles/Steelers*,1943,1943,5,4,1,.556,,,,,,0,0,0,,,,,0
Chi/Pit Cards/Steelers*,1944,1944,0,10,0,.000,,,,,,0,0,0,,,,,0
Pittsburgh Steelers,1945,2020,604,477,15,.559,,,,,,31,36,25,,6,6,8,25
San Francisco 49ers,1946,2020,586,492,16,.543,Rice,Montana,Gore,Rice,Seifert,27,33,22,0.600,5,5,7,21
Seattle Seahawks,1976,2020,360,336,1,.517,Jones,Wilson,Alexander,Largent,Carroll,18,17,17,0.500,1,1,3,11
Tampa Bay Buccaneers,1976,2020,271,426,1,.389,Brooks,Winston,Wilder,Evans,Gruden,10,6,9,0.400,1,1,1,7
Tennessee Titans,1960,2020,445,470,6,.486,Matthews,Moon,George,Givins,Fisher,23,17,21,0.447,2,0,1,10
Houston Oilers,1960,1996,251,291,6,.463,,,,,,15,9,13,,2,0,0,6
Tennessee Oilers,1997,1998,16,16,0,.500,,,,,,0,0,0,,0,0,0,0
Tennessee Titans,1999,2020,178,163,0,.522,,,,,,8,8,8,,0,0,1,4
Washington Redskins,1932,2020,604,608,28,.498,Green,Theismann,Riggins,Monk,Gibbs,24,23,19,0.548,5,3,5,15
Boston Braves,1932,1932,4,4,2,.500,,,,,,0,0,0,,0,0,0,0
Boston Redskins,1933,1936,20,24,3,.455,,,,,,1,0,1,,0,0,0,1
Washington Redskins,1937,2019,579,575,23,.502,,,,,,23,23,18,,5,3,5,14
Washington Football Team,2020,2020,1,5,0,.167,,,,,,,,,,,,,0
